"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"8921","3.29813665","1.3047E-4","0.30320151","0.13333333","6","6","false","ARID3B","23.16666667","6","0","0","0.74465148","false","0","ARID3B","2562","0.17989418"
"8923","3.47412008","8.1903E-4","0.28784267","0.21212121","12","7","false","MAFG","13.08333333","12","0","0","0.72509777","false","0","MAFG","32688","0.14606742"
"8925","3.39406487","9.428E-5","0.29463196","0.42857143","8","7","false","MED16","21.625","8","0","0","0.73399279","false","0","MED16","2372","0.20357143"
"8928","2.7805383","0.00174167","0.35964259","0.41149425","30","6","false","GAB2","59.83333333","30","0","0","0.80216241","false","0","GAB2","57580","0.11977288"
"8932","3.03726708","0.00242283","0.32924335","0.07575758","12","6","false","UBL7","30.0","12","0","0","0.77363699","false","0","UBL7","51800","0.10628019"
"8937","4.41407867","3.355E-5","0.22654784","0.0","2","7","false","FAM131A","3.5","2","0","0","0.62065793","false","0","FAM131A","498","0.5"
"8942","3.20289855","0.00197394","0.31221719","0.0","7","6","false","ARL3","31.42857143","7","0","0","0.75523349","false","0","ARL3","47648","0.15931189"
"8943","3.22084196","0.00187688","0.31047782","0.36363636","12","6","false","UNC13D","23.66666667","12","0","0","0.75323978","false","0","UNC13D","47206","0.13352273"
"8945","2.86611456","4.5749E-4","0.34890441","0.41578947","20","6","false","SOS2","58.65","20","0","0","0.79265394","false","0","SOS2","16292","0.14120482"
"8947","3.90200138","1.722E-5","0.25627874","0.0","3","7","false","RP2","6.0","3","0","0","0.6775554","false","0","RP2","254","0.33333333"
"8949","4.20220842","0.0","0.23797011","0.0","1","7","false","B9D2","7.0","1","0","0","0.64419906","false","0","B9D2","0","0.0"
"8954","3.20979986","2.4543E-4","0.3115459","0.14285714","7","6","false","ARL8A","32.0","7","0","0","0.75446668","false","0","ARL8A","5172","0.17442778"
"8955","3.20082816","0.00149926","0.31241915","0.19444444","9","6","false","PLXNC1","28.33333333","9","0","0","0.75546354","false","0","PLXNC1","35936","0.13472893"
"8962","3.29399586","1.618E-5","0.30358265","0.33333333","4","6","false","PLEKHM2","44.25","4","0","0","0.74511157","false","0","PLEKHM2","438","0.30985915"
"8990","2.80400276","2.3719E-4","0.35663303","0.32539683","28","6","false","GAB1","57.64285714","28","0","0","0.79955525","false","0","GAB1","13008","0.12008929"
"8992","3.25189786","3.0E-6","0.30751273","0.8","5","7","false","CAPG","47.0","5","0","0","0.74978913","false","0","CAPG","224","0.30718954"
"9007","3.50793651","8.141E-4","0.28506787","0.11111111","10","6","false","CLIC1","9.4","10","0","0","0.72134039","false","0","CLIC1","14716","0.11538462"
"9038","3.09247757","1.8759E-4","0.32336532","0.13333333","6","6","false","EFHD2","53.33333333","6","0","0","0.76750249","false","0","EFHD2","5222","0.22553191"
"9070","3.26639061","7.32E-6","0.30614832","0.61904762","7","6","false","SIRPB1","56.14285714","7","0","0","0.74817882","false","0","SIRPB1","382","0.2705314"
"9105","2.84126984","0.00175572","0.35195531","0.27272727","23","6","false","PPP2R5A","40.26086957","23","0","0","0.79541446","false","0","PPP2R5A","52096","0.09150198"
"9120","3.01725328","1.7286E-4","0.33142726","0.51648352","14","6","false","DTX2","42.0","14","0","0","0.77586075","false","0","DTX2","6020","0.14482759"
"9124","3.50448585","6.7573E-4","0.28534856","0.16666667","4","6","false","OPRL1","21.0","4","0","0","0.72172379","false","0","OPRL1","17208","0.26973684"
