	logFC	AveExpr	t	P.Value	adj.P.Val	B	change
ATF3	0.665056502673236	0.161390799840827	1.71660973260673	0.116574802657343	0.857265311192949	-4.5528463903006	Stable
PTPRK	0.208143499717591	2.09470729468045	1.27227414376675	0.231848291501498	0.875122405814658	-4.55286299721642	Stable
EPHA1	0.251271223797605	3.44211918547007	1.22609277702971	0.248042989342354	0.876664434269507	-4.55287138524249	Stable
MMP28	-0.724734667269736	0.121398248595924	-1.73439255171028	0.113274664742879	0.857265311192949	-4.55287554760326	Stable
EDARADD	0.293466889865017	1.57791400737176	1.30579852519365	0.220642615324147	0.872378834614433	-4.55300525842774	Stable
ZNF431	-0.173314535797806	4.54621700322399	-1.24049574487405	0.242896636161013	0.875913265932986	-4.55300968851004	Stable
FAM200A	-0.221438314917004	2.24308401008982	-1.26821685241183	0.233235596334378	0.875122405814658	-4.55301256559611	Stable
RPS27AP16	0.96051539872008	-0.311968569154378	1.95485540674226	0.0788869143899095	0.854474666675172	-4.5531381035072	Stable
ZYX	-0.237888929853511	9.41918843912476	-1.2254547233547	0.248272996165049	0.876887811732201	-4.55322282255093	Stable
SYMPK	0.12667422990037	6.39151504603175	1.24976288883522	0.239631386273611	0.875719777324291	-4.55323606110335	Stable
TRIM73	-0.314242165877017	1.89000328213209	-1.26952955159864	0.232786005189674	0.875122405814658	-4.55328273843231	Stable
SERTAD1	-0.16493389673054	3.33784567694174	-1.22667901366729	0.247831813288204	0.876664434269507	-4.55330132166573	Stable
TRAPPC11	-0.105853470190296	5.37438344697807	-1.25088295479234	0.239239162955153	0.8756707764429	-4.55333048027784	Stable
ASAH2B	0.624479257952067	0.593855582068659	1.51175744773524	0.161302103997173	0.872378834614433	-4.55335747945137	Stable
TPST1	-0.441205307019287	2.59872071092511	-1.24933580072652	0.239781081144097	0.875719777324291	-4.55355799292068	Stable
SUN2	0.143344181662943	9.36282201854662	1.22407476926107	0.248771033424748	0.877509528594516	-4.55357908612661	Stable
RHBDD1	0.109261817601931	4.36497072027911	1.23440009540542	0.245064030985242	0.875913265932986	-4.55360731676331	Stable
PCDHGB6	-0.51585794519615	-0.0179985362056544	-1.60295348035284	0.139792876782524	0.86371086959133	-4.55364285373595	Stable
IGLV7-46	0.679757712376555	0.543582477079242	1.65294979177606	0.129112880079047	0.860033153012742	-4.55369372948321	Stable
RSF1	-0.11366433334731	5.59894022287031	-1.25176586838896	0.238930353664258	0.8756707764429	-4.55371076098811	Stable
TSC22D1-AS1	-0.490293651703958	0.246631237827738	-1.61115147368626	0.137989500774182	0.861963972522698	-4.55379421606247	Stable
SAMD4A-AS1	0.528130189802098	0.972638898790436	1.44181779366031	0.179700096565983	0.872378834614433	-4.55388002321607	Stable
SGO1-AS1	-1.16619282395147	-1.16449277528858	-2.23637046099456	0.049111401856532	0.854474666675172	-4.55393438477588	Stable
PPIF	-0.190547827269485	6.12872369949719	-1.25136293258345	0.239071244879552	0.8756707764429	-4.55394405513235	Stable
