"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change","change_type"
"ZNF594",0.0774137663325516,2.03527105193201,0.437544962279577,0.672070956979218,0.962844026862735,-4.96271984245833,"Stable","stable_up"
"WDR76",0.283033683217542,2.53712398805748,2.21397828962818,0.0542158118862403,0.825819064074335,-3.81654417589767,"Stable","stable_up"
"CCL3",0.256664363075671,1.07896421869064,1.06585808135095,0.314359282240252,0.907280533843185,-4.63007704757456,"Stable","stable_up"
"RPS7",0.360632105604671,6.76813219218165,2.14263814507559,0.0608870945805496,0.825819064074335,-3.83659362554687,"Stable","stable_up"
"COL6A2",0.0571637366652569,5.47802028880034,0.367159119649191,0.722020430808641,0.968675678482159,-5.45024472543389,"Stable","stable_up"
"KLRC3",0.31915467909476,0.770504234238621,1.39043993950365,0.197953618960915,0.871738600212783,-4.48855699103982,"Stable","stable_up"
"MDGA1",0.111361198490127,1.88722774376263,0.756842977241695,0.468573193590518,0.936471802115679,-4.82140996624482,"Stable","stable_up"
"MRPL1",0.0722189173929295,1.7113806550962,0.505534161999465,0.625382429209278,0.959121784152747,-4.8805067603029,"Stable","stable_up"
"DZIP3",0.171138166002426,3.08543821181582,1.39289753359596,0.197233975473633,0.871738600212783,-4.55049058065091,"Stable","stable_up"
"ZNF778-DT",0.104286540415625,1.50061412822891,0.606764672277507,0.559062741097755,0.950369161030385,-4.82423063850769,"Stable","stable_up"
"CARMIL3",0.145402877844993,1.67936855475079,0.620875526854749,0.550143743770798,0.949336265476416,-4.87074307694697,"Stable","stable_up"
"LAG3",0.106370124118425,2.97992677270452,0.650127978336289,0.531919328659933,0.947362531180057,-5.0660399523257,"Stable","stable_up"
"GIPR",0.019996907090635,2.22191775051155,0.0766899799993993,0.940554968760391,0.995896699763363,-5.07977295058658,"Stable","stable_up"
"MS4A2",0.0549860578688479,2.91622792287598,0.255751618002547,0.803915948978883,0.982121120096805,-5.1947761769617,"Stable","stable_up"
"MRPL46",0.156021823422455,2.92788160622111,1.3505001747151,0.20996780498606,0.878100324749608,-4.57065688036327,"Stable","stable_up"
"TTC39B",0.130268079500611,4.44424107187589,0.866241106876813,0.408949632815073,0.926132024262009,-5.12979672838351,"Stable","stable_up"
"PDE4D",0.138373898094015,3.97084281370219,1.02373570493541,0.332798270968736,0.911448610117111,-4.96102196291895,"Stable","stable_up"
"CLEC2D",0.113626648230862,6.7383370041985,0.795517500309074,0.446869781877001,0.932349000377254,-5.20424613154686,"Stable","stable_up"
"EVA1C",0.129823036957461,2.47061689866097,0.86855495744404,0.407747922893827,0.926132024262009,-4.85820750943295,"Stable","stable_up"
"ZWINT",0.0476782991845623,0.608412427284216,0.235995200812564,0.818741392706734,0.985098430080192,-4.77115348045676,"Stable","stable_up"
"ZNF491",0.00309186579033705,0.402634818346826,0.0144036203754629,0.988823525833394,0.998659789643629,-4.75638171494032,"Stable","stable_up"
"DNAL1",0.23116585237358,2.17666370457997,1.82794258845074,0.100965423916431,0.846114344657826,-4.17034927164068,"Stable","stable_up"
"UICLM",0.0690833879095161,2.16651105115496,0.473876256309137,0.646919888771916,0.961874131311179,-4.97103649627894,"Stable","stable_up"
"LAX1",0.115480218508853,4.5796836256953,0.861967812739248,0.411175490525906,0.926132024262009,-5.14241900693543,"Stable","stable_up"
"BOLA3-DT",0.0988984848083059,0.596750258333657,0.516731671231965,0.617852170556765,0.959121784152747,-4.73466036453237,"Stable","stable_up"
"FRMPD3",0.129748202493472,2.61830001532525,0.844940219725836,0.420128459276632,0.928575238598646,-4.89407028767432,"Stable","stable_up"
"CCL4",0.156649654102184,3.99413938065144,0.709745696072603,0.495912239801136,0.94009561081988,-5.20078221709467,"Stable","stable_up"
"CCL5",0.273928005043821,8.60976266654144,1.88750049783677,0.091840784607423,0.835165847548176,-4.10588384264581,"Stable","stable_up"
"STYK1",0.0128043162497362,0.0746820761956424,0.0566294495460356,0.95608283981926,0.996864606504827,-4.72533847023014,"Stable","stable_up"
"SLC1A7",0.319553258545399,1.40165356009052,1.21452875566661,0.25557674340445,0.89609283102306,-4.57660385672657,"Stable","stable_up"
"TPRKB",0.183768986788335,1.92977250915321,1.24463823816596,0.244828477879029,0.894961371780249,-4.57382535912342,"Stable","stable_up"
"AK6",0.261664045399602,1.56797786809058,1.91477344647355,0.0879264262504597,0.835165847548176,-4.1733146896138,"Stable","stable_up"
"SGCD",0.0320346604137899,0.0827958065970074,0.135894627045852,0.894908108079027,0.991847601634575,-4.72344480045252,"Stable","stable_up"
"POLR2K",0.32814038066758,3.28949696438301,2.77519775624306,0.0216540095471767,0.825819064074335,-3.17511819399722,"Stable","stable_up"
"TRGV4",0.0931356428881907,0.948062931770224,0.373953934375872,0.717132398840133,0.968675678482159,-4.81141864454867,"Stable","stable_up"
"GOLGA7B",0.129806568136409,3.8357034250836,0.956695856209144,0.363814920184907,0.918823890375392,-4.9978769260232,"Stable","stable_up"
"GPR68",0.127032058275732,4.53320602596087,0.872045658570594,0.40593969052737,0.926132024262009,-5.13243440536297,"Stable","stable_up"
"LINC02611",0.404749358977822,1.57422619929942,1.7158185499989,0.120474578990168,0.85561240240808,-4.28051516381702,"Stable","stable_up"
"MALINC1",0.0770125663586385,0.318646136983014,0.371419349801683,0.718954143494431,0.968675678482159,-4.72607287424439,"Stable","stable_up"
"CLIC3",0.00263051421860094,4.22955029616714,0.0104386022495329,0.991900029695823,0.998659789643629,-5.44734588152193,"Stable","stable_up"
"ENOSF1",0.122994194908795,3.97588287319801,0.880406813448935,0.40163139497391,0.926132024262009,-5.06798967184282,"Stable","stable_up"
"GOLGA8A",0.15625606654973,6.63729239960196,1.05334351925213,0.319753624064222,0.90767531860472,-5.01026536201199,"Stable","stable_up"
"CD38",0.187719138405686,4.09928016133444,1.53639082673735,0.158960793829409,0.864522805573267,-4.49699463900766,"Stable","stable_up"
"DHRS3",0.247842850732598,3.94817895323833,1.85014092115387,0.0974695087004963,0.842074855959612,-4.15381330937408,"Stable","stable_up"
"B4GALT6",0.0797807809140088,1.49828203949386,0.424461836804415,0.681236918011147,0.963739188198376,-4.87109774935084,"Stable","stable_up"
"RTN4R",0.259650804096342,1.13495902401478,1.69870917768193,0.123740102962805,0.85561240240808,-4.34106240283055,"Stable","stable_up"
"RIC8B",0.368164011687175,3.15340438770933,4.21024088062759,0.00229352482330939,0.825751139058368,-1.95965107136157,"Stable","stable_up"
"IFNG",0.193811898490179,-0.10605833880546,0.679343102147207,0.514081650789209,0.941107812136217,-4.66561141393117,"Stable","stable_up"
"FRG1CP",0.184939017055778,3.64527781160392,1.42180280015586,0.188937269733524,0.871738600212783,-4.57446285772904,"Stable","stable_up"
"GAS5",0.180860072320805,4.5143058510286,1.41597457100963,0.190585480863359,0.871738600212783,-4.64767679860923,"Stable","stable_up"
"GPR174",0.128642936124715,5.07337325471167,0.864921450852186,0.40963611029441,0.926132024262009,-5.16834489974426,"Stable","stable_up"
"ZNF436-AS1",0.133573960483014,0.321065713801222,0.558481105289002,0.590194380615521,0.95764568763976,-4.70268151140931,"Stable","stable_up"
"MIF4GD-DT",0.233041315694928,0.323910982568199,0.883221658328,0.400188247545369,0.926132024262009,-4.64429252342953,"Stable","stable_up"
"CETN3",0.181108134814269,1.02921653997403,0.769197045548906,0.461566623329864,0.935323380063512,-4.72086121851412,"Stable","stable_up"
"TRBV25-1",0.201129941936395,-0.543255931321744,0.643741752980923,0.535867166523389,0.948149675309469,-4.65372837101758,"Stable","stable_up"
"DOK6",0.189320465287361,0.681269666989347,0.762203676535312,0.465524424290316,0.935323380063512,-4.69210181748485,"Stable","stable_up"
"ZNF345",0.190111915364966,2.50462412513951,1.32745587036289,0.217177676077921,0.881356285155917,-4.5560441890615,"Stable","stable_up"
"ZNF540",0.194903080017108,2.3675477772726,1.19677646809156,0.262092301878814,0.899302946914742,-4.64070313145131,"Stable","stable_up"
"MIR3142HG",0.515192341028942,1.31696452372402,2.34503434774653,0.0437730741814915,0.825819064074335,-3.95388849935161,"Stable","stable_up"
"ZNF781",0.13688525956909,0.0721656804087298,0.54833622430029,0.5968533373834,0.958521888128456,-4.68811078045091,"Stable","stable_up"
"APOBEC3H",0.255883249945451,1.16449226849962,0.983135316871284,0.351336018481795,0.91576495154641,-4.66080118170991,"Stable","stable_up"
"PCMTD1-DT",0.220222638709807,1.46818647100518,1.07577528461654,0.310134616917309,0.907280533843185,-4.63813809508578,"Stable","stable_up"
"PALLD",0.239731201010602,3.18823351202764,1.85914572744019,0.0960839467365712,0.838320750951919,-4.11884550142932,"Stable","stable_up"
"SNRPG",0.154954935674751,3.09000240436634,1.0207640289197,0.334129545574575,0.911796444381501,-4.84805619999228,"Stable","stable_up"
"HSPB11",0.265151928473428,2.65931086241215,1.73393044804376,0.117104011453035,0.855044847962451,-4.23154460153204,"Stable","stable_up"
"FKBP3",0.232361563548929,3.92638565653226,1.85548489677151,0.096644994182909,0.839063305878664,-4.14515058211668,"Stable","stable_up"
"CIT",0.213418893720492,0.477705627409587,1.01459248128478,0.336907194135929,0.911796444381501,-4.61411907516387,"Stable","stable_up"
"WNT10B",0.192098192090342,2.40987705514355,1.00179013340913,0.342724686904975,0.911796444381501,-4.77333879515106,"Stable","stable_up"
"LINC00892",0.47152875968094,0.88924875809787,1.93559642645407,0.0850444450643477,0.835165847548176,-4.25372905280412,"Stable","stable_up"
"YPEL1",0.230896852825341,4.71635671106343,1.21031149670131,0.257112520201678,0.89609283102306,-4.86473120372977,"Stable","stable_up"
"KLRC2",0.340642596823381,0.851754042052491,1.39517891886806,0.196567941887488,0.871738600212783,-4.48571710156486,"Stable","stable_up"
"NUCB2",0.124880032098536,3.9186998155121,0.790980594144983,0.449380623900078,0.933323276747565,-5.12101449407273,"Stable","stable_up"
"SUSD4",0.147733588126624,1.20646961144539,0.880580112915281,0.401542439945605,0.926132024262009,-4.6928471895665,"Stable","stable_up"
"MORN3",0.160796444832976,2.29724182405912,0.983205461528748,0.351303339470012,0.91576495154641,-4.7617961996521,"Stable","stable_up"
"LPAL2",0.231027017210957,1.5013511862992,1.16675921272352,0.273414999940532,0.901887330385515,-4.59664202356832,"Stable","stable_up"
"ZNF302",0.260200826513523,4.04747153273088,1.94159111221738,0.0842314800769717,0.835165847548176,-4.05425558679903,"Stable","stable_up"
"NIPA1",0.249668369099338,3.94061043269135,1.79910073006975,0.105682485414001,0.848221848432647,-4.20878919615807,"Stable","stable_up"
"DOC2GP",0.219650502650845,1.22736475995835,0.934158497064235,0.374706632324601,0.922894545292975,-4.6788033599743,"Stable","stable_up"
"RPL6P10",0.204766088345827,0.0898097271388343,0.896077748767975,0.39364362838206,0.926132024262009,-4.62947323416033,"Stable","stable_up"
"MIX23",0.287510915448404,0.798394809748953,1.31126890847284,0.222366135944128,0.884532584805732,-4.52259083298518,"Stable","stable_up"
"LDB2",0.339610534352195,-0.532798925420488,0.979354875587273,0.353100597211819,0.91576495154641,-4.60628676587702,"Stable","stable_up"
"SKA2",0.351871164371904,3.01268726826042,4.20562649229796,0.00230919177212589,0.825751139058368,-2.04521823252771,"Stable","stable_up"
"RDH10",0.235066960630268,1.71721729155648,1.30690044123338,0.223784100414729,0.887040149885516,-4.52882465048776,"Stable","stable_up"
"LINC00092",0.439876047506004,0.54251889001443,1.96014551749709,0.0817616912138692,0.835165847548176,-4.30289386005773,"Stable","stable_up"
"MSANTD2",0.238589331589332,3.41805376398688,1.78208218446139,0.108561177368381,0.848221848432647,-4.20222789621708,"Stable","stable_up"
"TARP",0.380198224556286,4.24052178049416,1.78226609999909,0.108529682860003,0.848221848432647,-4.24575321198166,"Stable","stable_up"
"CEP290",0.191455206680849,3.36427112413795,1.09459239795347,0.302239848960461,0.907280533843185,-4.83157050299355,"Stable","stable_up"
"B3GNT7",0.200316507877323,1.85390467472163,1.41808083607417,0.189988405528102,0.871738600212783,-4.46376204977939,"Stable","stable_up"
"ZNF883",0.499242417461974,-0.295390082127449,1.79962941867974,0.105594203585356,0.848221848432647,-4.44158967728595,"Stable","stable_up"
"TTBK2-AS1",0.4164367830912,0.602918601900723,2.00563912022199,0.0759941804795089,0.83340446415113,-4.28316664074996,"Stable","stable_up"
"PRSS23",0.183984341454867,4.51735939194379,0.519608584929747,0.615925006850398,0.958892330665611,-5.35971777639119,"Stable","stable_up"
"B3GAT1",0.205612820595399,4.88164630552461,0.664964207591802,0.52281501277106,0.943164059306697,-5.29957333964401,"Stable","stable_up"
"RPAP2",0.18427808981652,3.83576751267547,1.29622749942799,0.227280362137958,0.888263153520025,-4.70993093589421,"Stable","stable_up"
"METTL18",0.353735990301978,2.3180105047464,2.85768616988044,0.0189304987890989,0.825819064074335,-3.34833405065544,"Stable","stable_up"
"FAM95B1",0.248537685359063,0.680201705558106,1.22936295467801,0.250234039019805,0.895636936400957,-4.55265978986684,"Stable","stable_up"
